ard_millis,GPS Epoch Time,lat (deg),lat (min), long (deg),long (min),el (m),SOG (mm/s),COG (deg*1000),Vert Vel (mm/s)
262322,1489675375.00,-122,-2957070,37,3022332,-29.46,42,0,74
262574,1489675375.40,-122,-2957087,37,3022291,-29.04,65,199120,62
262926,1489675375.80,-122,-2957081,37,3022292,-28.94,18,193110,33
263325,1489675376.20,-122,-2957083,37,3022274,-28.52,26,191100,15
263725,1489675376.60,-122,-2957068,37,3022291,-28.77,25,180000,-47
264124,1489675377.00,-122,-2957059,37,3022300,-28.98,17,166930,-29
264523,1489675377.40,-122,-2957041,37,3022323,-29.54,18,108000,-32
264921,1489675377.80,-122,-2957030,37,3022336,-29.89,44,78890,-36
265318,1489675378.20,-122,-2957020,37,3022346,-30.22,55,67500,-75
265715,1489675378.60,-122,-2957011,37,3022350,-30.53,45,65140,-60
266117,1489675379.00,-122,-2957001,37,3022358,-30.92,17,61560,-51
266522,1489675379.40,-122,-2956993,37,3022365,-31.25,31,58570,-60
266917,1489675379.80,-122,-2956986,37,3022371,-31.58,50,56530,-23
267321,1489675380.20,-122,-2956978,37,3022374,-31.90,29,56310,-82
267720,1489675380.60,-122,-2956972,37,3022377,-32.19,113,56120,-159
268113,1489675381.00,-122,-2956964,37,3022380,-32.57,79,56940,-143
268515,1489675381.40,-122,-2956954,37,3022332,-32.43,72,86820,-79
268906,1489675381.80,-122,-2956947,37,3022313,-32.53,22,98970,-3
269307,1489675382.20,-122,-2956940,37,3022304,-32.75,45,103060,103
269715,1489675382.60,-122,-2956935,37,3022300,-32.91,30,104610,60
270108,1489675383.00,-122,-2956929,37,3022299,-33.13,48,104590,132
270505,1489675383.40,-122,-2956923,37,3022300,-33.38,60,103770,165
270903,1489675383.80,-122,-2956917,37,3022298,-33.60,28,104040,156
271304,1489675384.20,-122,-2956911,37,3022296,-33.79,52,104040,114
271706,1489675384.60,-122,-2956906,37,3022295,-33.96,28,104040,112
272101,1489675385.00,-122,-2956901,37,3022293,-34.05,37,104150,28
272500,1489675385.40,-122,-2956896,37,3022294,-34.26,45,103080,58
272904,1489675385.80,-122,-2956891,37,3022295,-34.44,15,102500,2
273299,1489675386.20,-122,-2956887,37,3022295,-34.53,33,102050,-18
273700,1489675386.60,-122,-2956884,37,3022294,-34.61,41,102080,-41
274098,1489675387.00,-122,-2956880,37,3022295,-34.73,10,101480,-29
274497,1489675387.40,-122,-2956878,37,3022294,-34.81,20,101350,-32
274900,1489675387.80,-122,-2956876,37,3022294,-34.89,12,101230,-50
275294,1489675388.20,-122,-2956874,37,3022294,-34.99,54,101150,-59
275695,1489675388.60,-122,-2956872,37,3022295,-35.09,21,100820,-49
276088,1489675389.00,-122,-2956869,37,3022295,-35.18,28,79290,-86
276496,1489675389.40,-122,-2956866,37,3022296,-35.30,23,78870,-114
276895,1489675389.80,-122,-2956862,37,3022298,-35.46,10,78550,-112
277288,1489675390.20,-122,-2956859,37,3022299,-35.56,89,78160,-224
277690,1489675390.60,-122,-2956857,37,3022301,-35.62,118,77700,-314
278085,1489675391.00,-122,-2956854,37,3022302,-35.70,49,77340,-199
278484,1489675391.40,-122,-2956852,37,3022305,-35.79,1,81790,-44
278886,1489675391.80,-122,-2956850,37,3022306,-35.83,6,81280,34
279281,1489675392.20,-122,-2956849,37,3022308,-35.90,42,80570,91
279683,1489675392.60,-122,-2956847,37,3022309,-35.95,59,80260,131
280084,1489675393.00,-122,-2956848,37,3022309,-35.97,16,80260,141
280483,1489675393.40,-122,-2956846,37,3022309,-36.06,49,80170,151
280879,1489675393.80,-122,-2956844,37,3022310,-36.15,33,80060,136
281276,1489675394.20,-122,-2956842,37,3022311,-36.26,62,82540,103
281679,1489675394.60,-122,-2956840,37,3022312,-36.37,24,82190,118
282081,1489675395.00,-122,-2956838,37,3022314,-36.53,7,81710,81
282476,1489675395.40,-122,-2956836,37,3022315,-36.69,2,81420,41
282875,1489675395.80,-122,-2956834,37,3022315,-36.83,13,81140,45
283271,1489675396.20,-122,-2956831,37,3022316,-37.00,30,80690,34
283672,1489675396.60,-122,-2956829,37,3022317,-37.16,9,80240,30
284073,1489675397.00,-122,-2956828,37,3022317,-37.23,22,80240,-30
284471,1489675397.40,-122,-2956825,37,3022320,-37.43,32,79490,2
284870,1489675397.80,-122,-2956824,37,3022322,-37.59,22,78830,-20
285274,1489675398.20,-122,-2956824,37,3022323,-37.73,18,78310,42
285671,1489675398.60,-122,-2956817,37,3022327,-38.08,87,83930,38
286064,1489675399.00,-122,-2956814,37,3022330,-38.27,62,82920,29
286468,1489675399.40,-122,-2956816,37,3022331,-38.27,44,82430,34
286867,1489675399.80,-122,-2956818,37,3022331,-38.29,56,82570,27
287270,1489675400.20,-122,-2956814,37,3022332,-38.38,68,81980,-24
287666,1489675400.60,-122,-2956811,37,3022332,-38.40,13,82050,-124
288067,1489675401.00,-122,-2956810,37,3022332,-38.40,59,81900,-60
288460,1489675401.40,-122,-2956814,37,3022329,-38.27,37,82480,-20
288862,1489675401.80,-122,-2956816,37,3022327,-38.20,60,82970,96
289265,1489675402.20,-122,-2956814,37,3022327,-38.19,144,82990,180
289658,1489675402.60,-122,-2956816,37,3022325,-38.06,93,76670,97
290058,1489675403.00,-122,-2956816,37,3022323,-37.97,103,77100,126
290463,1489675403.40,-122,-2956814,37,3022322,-37.96,83,77340,146
290854,1489675403.80,-122,-2956815,37,3022321,-37.86,46,77470,133
291254,1489675404.20,-122,-2956818,37,3022319,-37.70,24,77790,120
291655,1489675404.60,-122,-2956818,37,3022318,-37.65,45,77930,48
292052,1489675405.00,-122,-2956817,37,3022318,-37.67,12,77970,56
292462,1489675405.40,-122,-2956841,37,3022306,-36.78,16,77800,19
292851,1489675405.80,-122,-2956851,37,3022299,-36.41,51,74050,26
293255,1489675406.20,-122,-2956864,37,3022292,-35.89,31,97450,-33
293654,1489675406.60,-122,-2956866,37,3022287,-35.78,133,99280,-92
294053,1489675407.00,-122,-2956862,37,3022288,-35.87,9,98650,-62
294453,1489675407.40,-122,-2956858,37,3022289,-35.97,53,98280,-64
