ard_millis,GPS_epoch_time
0,1489675369
2000,1489675371
4000,1489675373
6000,1489675375
8000,1489675377
10000,1489675379
12000,1489675381
14000,1489675383
16000,1489675385
18000,1489675387
20000,1489675389
22000,1489675391
24000,1489675393
26000,1489675395
28000,1489675397
30000,1489675399
32000,1489675401
34000,1489675403
36000,1489675405
38000,1489675407
40000,1489675409
42000,1489675411
44000,1489675413
46000,1489675415
48000,1489675417
50000,1489675419
52000,1489675421
54000,1489675423
56000,1489675425
58000,1489675427
60000,1489675429
